Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
CCT16,CET12,SYC02,C4631,M0064,D228
CDN16,HOC07,MOZ02,C3027,M0007,D230
CES16,DAK12,NA,C2557,M0140,NA
CET16,RUF02,LAVAL,C5587,M0486,D280
CHK16,SOX04,GLR09,C3911,M0147,D117
CHM16,HOC05,KLD06,C1353,M0769,D491
CHY16,CHK07,TTL06,C2228,M0265,D113
CLR16,ZUC01,TTL06,C3256,M0166,D113
CLS16,GLR13,SLITT,C4692,M0484,D433
CMA16,TWX08,NA,C2333,M0162,NA
CMB16,HED12,DIN10,C5103,M0438,D289
CML16,SLA06,NA,C3122,M0481,NA
CNK16,BEA00,NA,C2895,M0449,NA
COM16,APA10,D0558,C1714,M0510,D116
CPY16,MOU03,TONKS,C3624,M0384,D360
CSH16,WAL03,STERN,C0015,M0642,D131
DAK16,SOX08,SYC02,C1839,M0362,D228
DAW16,SLO05,TONKS,C1464,M0720,D360
DEW16,MNS12,NA,C3233,M0734,NA
DOLPH,NA,NA,C2773,NA,NA
DRE16,PRC09,NA,C0845,M0391,NA
DUB16,STI02,LAURE,C0633,M0596,D097
EDA16,CHD05,FRT05,C1257,M1002,D337
EDD16,RUF09,MOU09,C0791,M0480,D109
EMU16,LYR12,LAVAL,C4506,M0989,D280
FLM16,EMB12,DAMMY,C5264,M0879,D496
FLU16,PCO06,NA,C1065,M0739,NA
FVA16,DUB11,LAVAL,C6034,M0333,D280
GGZ16,CHD10,SMOOT,C1825,M0376,D112
GLE16,SML13,TTL06,C0808,M1019,D113
GLR16,LPA02,DAMMY,C1095,M0940,D496
GLZ16,MAJ12,NA,C2161,M0099,NA
GYP16,TIN00,ZAPHO,C3872,M0700,D174
HAN16,JAE08,KLD06,C2508,M0312,D491
HAZ16,LCH06,NA,C5249,M0017,NA
HIM16,OXY06,BROAD,C3416,M0040,D237
HNY16,NEC08,NA,C4364,M0345,NA
HRT16,WAS10,STERN,C0113,M0822,D131
HUD16,LPA12,DAMMY,C1234,M0037,D496
HYS16,SDY13,NA,C4057,M0859,NA
ING16,LEI12,BRY11,C0416,M0963,D321
IRI16,AYE09,SCRAT,C1870,M0921,D188
JEP16,CHK12,D0567,C0417,M0562,D036
KAK16,TUI12,NA,C4702,M0077,NA
KAN16,WIC13,ZAPHO,C3670,M0482,D174
KKA16,WAL11,RUM04,C3236,M0851,D262
KLN16,PRC12,D0558,C0610,M0789,D116
KLP16,MTT10,TONKS,C3187,M0392,D360
KOH16,AYE10,TWX06,C3065,M0714,D291
LALOO,NA,NA,C4548,NA,NA
LEA16,ORY07,NA,C5422,M0960,NA
LEI16,RAP06,VNS09,C1860,M0080,D114
LEM16,AYE12,SCRAT,C2168,M0944,D188
LIA16,ARA09,CLW00,C4985,M0657,D298
